Product Name,Description,Image Url,Price,Rating,Merchant
Infinix Hot 30i 8/128 GB Garansi Resmi 1 Tahun,Infinix Hot 30i 8/128 GB Garansi Resmi 1 Tahun,,Rp1.341.000,5,NEW ERA PONSEL
SAMSUNG GALAXY M14 5G - NFC - 6000mAh - 4GB 64GB 4/64 GARANSI RESMI,SAMSUNG GALAXY M14 5G - NFC - 6000mAh - 4GB 64GB 4/64 GARANSI RESMI,,Rp1.727.000,5,Shopyz ID
Samsung Galaxy A05 4/64GB,Samsung Galaxy A05 4/64GB,,Rp1.499.000,5,SUPER GADGET - Samsung Authorized
[ RESMI IBOX ] Apple iPhone 14 & 14 Plus 5G 128GB 256GB 512GB Not Pro,[ RESMI IBOX ] Apple iPhone 14 & 14 Plus 5G 128GB 256GB 512GB Not Pro,,Rp13.261.000,5,New Rizkyapple
Infinix Smart 7 3/64GB  + 4/64GB Garansi Resmi,Infinix Smart 7 3/64GB  + 4/64GB Garansi Resmi,,Rp916.000,5,duniagadgetku
oppo f1s,oppo f1s,,Rp500.000,5,Sukses makmur jaya 1
Xiaomi 12T 8/256 Gb,Xiaomi 12T 8/256 Gb,,Rp5.374.500,5,jikalaku
Infinix Smart 7 4/64GB 3/64GB Garansi Resmi Smart 7 4GB Not Smart 6,Infinix Smart 7 4/64GB 3/64GB Garansi Resmi Smart 7 4GB Not Smart 6,,Rp1.699.000,5,Dewa Ponsel Rakyat
Infinix Hot 30i 8/128 GB Garansi Resmi Hot30i RAM 8GB ROM 128GB,Infinix Hot 30i 8/128 GB Garansi Resmi Hot30i RAM 8GB ROM 128GB,,Rp1.374.000,5,Dzumart Bekasi
Coffe Bleck,Coffe Bleck,,Rp73.000,5,Anam khoirul
JOIWAY GALAXY THE NIGHT KING LIMITED EDITION,JOIWAY GALAXY THE NIGHT KING LIMITED EDITION,,Rp170.000,5,DeComm
nokia 106,nokia 106,,Rp150.000,5,Edelweis Corner
HP VIVO Y66 RAM 4/64GB FULLSET TERMURAH BERGARANSI 1 TAHUN,HP VIVO Y66 RAM 4/64GB FULLSET TERMURAH BERGARANSI 1 TAHUN,,Rp355.000,5,XY_Cell
HP OPPO A3S RAM 4/64GB  6/128GB FULLSET TERMURAH BERGARANSI 1 TAHUN,HP OPPO A3S RAM 4/64GB  6/128GB FULLSET TERMURAH BERGARANSI 1 TAHUN,,Rp549.000,5,XY_Cell
Samsung Galaxy S23 Ultra 12/256 12/512 GB 12GB 256 512 Garansi Resmi,Samsung Galaxy S23 Ultra 12/256 12/512 GB 12GB 256 512 Garansi Resmi,,Rp16.575.000,5,Original-Link
Jam Digital Led 3D Untuk Dekorasi Dinding Atau Meja,Jam Digital Led 3D Untuk Dekorasi Dinding Atau Meja,,Rp59.000,5,White18
Tecno POVA Neo 3 8/128GB -Black-Resmi,Tecno POVA Neo 3 8/128GB -Black-Resmi,,Rp1.750.000,0,GorillaTech
VIVO V29 5G 12/512 VIVO V 29 5G 8/256 GARANSI RESMI INDONESIA,VIVO V29 5G 12/512 VIVO V 29 5G 8/256 GARANSI RESMI INDONESIA,,Rp5.999.000,5,Cuan Gadget.id
OPPO A77s 8/128 garansi 12 bulan,OPPO A77s 8/128 garansi 12 bulan,,Rp865.000,5,INFINITITE SHOP
"(IBOX) Apple iPhone 14 512GB 256GB 128GB 6.1"" inch Resmi Indo TAM","(IBOX) Apple iPhone 14 512GB 256GB 128GB 6.1"" inch Resmi Indo TAM",,Rp12.969.000,5,Putra Group
Asus Zenfone 10 8/128GB - Midnight Black,Asus Zenfone 10 8/128GB - Midnight Black,,Rp8.999.000,5,Asus Mobile Indonesia
HP OPPO A54S RAM 6/128 GB NEW SMARTPHONE GARANSI 1 YEAR,HP OPPO A54S RAM 6/128 GB NEW SMARTPHONE GARANSI 1 YEAR,,Rp749.000,5,Cahayacell89
Vivo Y17S Garansi Resmi Vivo Indonesia,Vivo Y17S Garansi Resmi Vivo Indonesia,,Rp1.369.000,5,Gudang HP Tangerang
"vivo Y22 (4/64) - Helio G85, 50MP Camera, Splash Waterproof","vivo Y22 (4/64) - Helio G85, 50MP Camera, Splash Waterproof",,Rp1.435.000,5,vivo Indonesia
OATDRIPSx V8 ICED OAT STRAWBERRY 30 ML PF,OATDRIPSx V8 ICED OAT STRAWBERRY 30 ML PF,,Rp80.000,5,mafh clouds
Xiaomi Redmi 12C 4/64 3/32 GB - Garansi Resmi,Xiaomi Redmi 12C 4/64 3/32 GB - Garansi Resmi,,Rp945.000,5,OKESHOP
MELDS V4 PINK CRUST STRAWBERRY CROFFLE 60 MILII,MELDS V4 PINK CRUST STRAWBERRY CROFFLE 60 MILII,,Rp110.000,5,mafh clouds
ADVAN NASA PRO 2/32 GB GARANSI RESMI,ADVAN NASA PRO 2/32 GB GARANSI RESMI,,Rp594.000,5,angel 19
Fum Fom Foom Icy Mangga 30ML Original,Fum Fom Foom Icy Mangga 30ML Original,,Rp92.500,5,mudahingat88
INFINIX NOTE 30 PRO NFC 8/256 SUPPORT WIRELESS CHARGING GARANSI RESMI,INFINIX NOTE 30 PRO NFC 8/256 SUPPORT WIRELESS CHARGING GARANSI RESMI,,Rp2.519.000,5,Bintangempat cell
Skun C-45 10mm 16mm 25mm 35mm Skun gepeng Kabel Baterai,Skun C-45 10mm 16mm 25mm 35mm Skun gepeng Kabel Baterai,,Rp3.500,5,rumah solar bekasi
JUTA XXX SUNDAE 3EMGE - 60MILI ORI,JUTA XXX SUNDAE 3EMGE - 60MILI ORI,,Rp85.000,5,ARSCLOUD
